Line #1,,,Line #3,
0.22528771522883,0.04212017129093,,0.01378356677670,0.02366401998394
0.43699259523597,0.04635783745205,,0.12679543224195,0.01865688286199
0.52163440092783,0.05089660094567,,0.22555535730217,0.02316219109644
0.60614238558301,0.06491435453653,,0.33850031224909,0.02289454902311
0.73293781782496,0.08357123739852,,0.43732714782764,0.02266036220894
0.83176465340352,0.08333705058435,,0.50791774466946,0.02249308591311
0.91640645909537,0.08787581407797,,0.62092961013471,0.01748594879115
1.01496565260059,0.10659960745829,,0.70557141582657,0.02202471228477
1.11345793558747,0.13006289588723,,0.81851637077349,0.02175707021144
1.24005263627442,0.16293826389508,,0.91741011687037,0.01678338834865
1.35259612811134,0.19110759211348,,1.01617004193059,0.02128869658310
1.42265144080649,0.22885627620662,,1.11506378802748,0.01631501472031
1.52094299223838,0.26653804978143,,1.22800874297440,0.01604737264698
1.63321884200196,0.31366535819431,,1.32683557855295,0.01581318583281
1.74556160228388,0.35605317155857,,1.42559550361317,0.02031849406727
1.85777054152913,0.40791997502007,,1.52442233919172,0.02008430725310
1.94187706307432,0.45037469890267,,1.59501293603354,0.01991703095727
2.03990097243287,0.50701445267196,,1.69383977161210,0.01968284414310
2.16609421000981,0.56832679097154,,1.76436345793559,0.02425506289589
2.23608261218664,0.61081497011330,,1.83495405477741,0.02408778660005
2.33424034258185,0.65797573378535,,1.94796592024266,0.01908064947810
2.44651619234544,0.70510304219823,,2.04679275582122,0.01884646266393
2.55899277366402,0.73801186546525,,2.15973771076813,0.01857882059060
2.64323311624587,0.77098759925060,,2.25856454634669,0.01834463377643
2.75564278704612,0.80863591756624,,2.34320635203854,0.02288339727005
2.86811936836471,0.84154474083326,,2.44176554554376,0.04160719065037
2.95242662146489,0.86978097956999,,2.55464358997234,0.04607904362566
3.05098581497011,0.88850477295031,,2.66738781336426,0.06002988669819
3.16386385939870,0.89297662592560,,2.73764385761442,0.08356008564546
3.26195467927558,0.94487688464627,,2.87828976715140,0.12114149344277
3.37510036577750,0.93039075742707,,2.96219555714158,0.17781470247123
3.47379338031939,0.93963556071014,,3.07420376483183,0.24389999107860
3.57208493175127,0.97731733428495,,3.17182621108038,0.32897671513962
3.67131323043983,0.94864617717905,,3.25526362744223,0.41882638950843
3.76953787135338,0.99106744580248,,3.36687037202248,0.51334864840753
3.88288428941030,0.96236283343742,,3.46449281827103,0.59842537246855
3.96765991613882,0.95742260683379,,3.57636720492461,0.67398965117316
4.08080560264074,0.94293647961460,,3.68837541261486,0.74007493978053
4.17976625925596,0.93322330270319,,3.77228120260505,0.79674814880899
4.27859309483451,0.93298911588902,,3.87057275403693,0.83442992238380
4.39133731822642,0.94693995896155,,3.96899812650549,0.86263270586136
4.49043179587831,0.92774779195290,,4.08174234989740,0.87658354893389
4.60324292978856,0.93695913997680,,4.19441966277099,0.89527388705505
4.70227049692212,0.92250646801677,,4.27886073690784,0.91403113569453
4.80082969042734,0.94123026139709,,4.39167187081809,0.92324248371844
4.89985725756089,0.92677758943706,,4.47638058702828,0.92304175216344
4.99895173521278,0.90758542242841,,4.61736104915693,0.93692568471764
5.09791239182799,0.89787224551700,,4.68788473548042,0.94149790347043
5.21072352573825,0.90708359354091,,4.81494780979570,0.94119680613793
5.30961727183513,0.90210991167812,,4.89945579445089,0.95521455972879
5.40831028637702,0.91135471496119,,4.98409760014274,0.95975332322241
5.49308591310554,0.90641448835757,,5.09684182353466,0.97370416629494
,,,5.19566865911321,0.97346997948077
,,,5.29436167365510,0.98271478276385
,,,5.40737353912035,0.97770764564190
